model,outcome,term,coefficient,standard_error,p_value,odds_ratio,or_ci_lower,or_ci_upper
Model 2: + age and sex,mortality_1d,const,-5.533293482133245,0.4072698604054568,4.828331242889407e-42,0.003952948660881644,0.001779313362477321,0.008781928717609543
Model 2: + age and sex,mortality_1d,riwt,0.8100790762494455,0.17524202253671003,3.7890473024377097e-06,2.248085749837486,1.5945810282210746,3.169415319245661
Model 2: + age and sex,mortality_1d,age,0.0032302583485553774,0.006137182754666216,0.5986504588012631,1.0032354812553197,0.9912401938263143,1.0153759271649847
Model 2: + age and sex,mortality_1d,sex_M,-0.22516067519175223,0.17222389153970832,0.19108643817500692,0.7983879273197124,0.5696613030795808,1.118951347131998
Model 3: + ICU type,mortality_1d,const,-7.6510406676220555,0.5876171915541716,9.361671891146649e-39,0.00047554898299643155,0.00015031924886700558,0.0015044436220475192
Model 3: + ICU type,mortality_1d,riwt,1.0501496782715856,0.1791884913960641,4.612348170768371e-09,2.858078878355722,2.011632715672313,4.060689017066939
Model 3: + ICU type,mortality_1d,age,0.00673634299872713,0.005949007278702974,0.25748840432379705,1.0067590831904587,0.9950886035329697,1.0185664351776602
Model 3: + ICU type,mortality_1d,sex_M,-0.09051241017671688,0.17557138988269605,0.6061823471526399,0.9134629975933858,0.6475067821745564,1.288657773081596
Model 3: + ICU type,mortality_1d,icu_type_Coronary Care Unit (CCU),2.4911318385473287,0.3763660540196521,3.618648676154761e-11,12.074935266203479,5.7745938657936655,25.24923225279758
Model 3: + ICU type,mortality_1d,icu_type_Intensive Care Unit (ICU),-18.85138780644653,0.6460849646441692,3.701647460600117e-187,6.500493067089093e-09,1.8323050581453061e-09,2.3061885861978732e-08
Model 3: + ICU type,mortality_1d,icu_type_Medical Intensive Care Unit (MICU),2.2921481092358293,0.3638645650259952,2.986958222434502e-10,9.896172925656138,4.850038613841712,20.192465745528555
Model 3: + ICU type,mortality_1d,icu_type_Medical/Surgical Intensive Care Unit (MICU/SICU),1.8440035743895458,0.41055575951228074,7.072946508444697e-06,6.3217974501334755,2.827319450356936,14.135340453116713
Model 3: + ICU type,mortality_1d,icu_type_Medicine,-18.41765195632307,0.55400957461306,2.4689353202169627e-242,1.0030333790408472e-08,3.3864259299903217e-09,2.9709079137395315e-08
Model 3: + ICU type,mortality_1d,icu_type_Medicine/Cardiology Intermediate,-18.359626493335362,1.0638032019685524,9.662064126553232e-67,1.0629565786732548e-08,1.3213096199925672e-09,8.551187935429602e-08
Model 3: + ICU type,mortality_1d,icu_type_Neuro Intermediate,-18.444177730581558,0.3475011745296999,0.0,9.767769180554596e-09,4.943127953071845e-09,1.9301405035510214e-08
Model 3: + ICU type,mortality_1d,icu_type_Neuro Stepdown,-18.381909870616234,0.3901079119339681,0.0,1.039532271799436e-08,4.8392439935845025e-09,2.2330499258667453e-08
Model 3: + ICU type,mortality_1d,icu_type_Neuro Surgical Intensive Care Unit (Neuro SICU),1.5466111980589912,1.0561286980114823,0.14308046522547613,4.695530965968885,0.5925245257950117,37.21029272634762
Model 3: + ICU type,mortality_1d,icu_type_PACU,-18.600680198098853,0.3726855589108615,0.0,8.352706673465748e-09,4.0234323865359435e-09,1.734034577204047e-08
Model 3: + ICU type,mortality_1d,icu_type_Surgery/Trauma,-18.32730447806184,0.6781743089822504,7.623105070961922e-161,1.0978747503820966e-08,2.9059609810829957e-09,4.147780976320433e-08
Model 3: + ICU type,mortality_1d,icu_type_Surgery/Vascular/Intermediate,-18.610517285473126,0.36798718241252326,0.0,8.27094318474018e-09,4.020904700442672e-09,1.7013211270008156e-08
Model 3: + ICU type,mortality_1d,icu_type_Surgical Intensive Care Unit (SICU),2.487100029948649,0.37783601637955033,4.626485077450846e-11,12.026349448542877,5.734812441046572,25.220193780578605
Model 3: + ICU type,mortality_1d,icu_type_Trauma SICU (TSICU),1.2020333891396198,0.48428878806454334,0.013062561162961079,3.326874880880361,1.2876834211224137,8.59535526471652
Model 4: + baseline biomarkers,mortality_1d,const,-8.482222323846576,0.5876575759361637,3.164102313142849e-47,0.00020711790782401184,6.546401157505905e-05,0.0006552887106866422
Model 4: + baseline biomarkers,mortality_1d,riwt,1.1234056933071574,0.18887884001708655,2.718395486916337e-09,3.0753099511697237,2.1238064403150902,4.453104160641117
